Codi_centre;Denominació_completa;Adreça;Codi_postal;Telèfon;Codi_delegació;Nom_delegació;Codi_comarca;Nom_comarca;Codi_municipi;Nom_municipi;E-mail_centre
8000013;Escola Francesc Platón i Sartí;c. Salvador Espriu, 3;8630;937700381;308;Baix Llobregat;11;Baix Llobregat;8001;Abrera;a8000013@xtec.cat
8000049;Escola Fabra;av. del Bosquet, 1;8328;935557803;508;Maresme - Vallès Oriental;21;Maresme;8003;Alella;a8000049@xtec.cat
8000086;Escola La Forja - ZER Alt Lluçanès;ctra. Lluçanesa, 8;8589;938527007;1060;Catalunya Central;24;Osona;8004;Alpens;a8000086@xtec.cat
8000098;Escola Bertí;Antic camí de Caldes, s/n;8480;938432778;508;Maresme - Vallès Oriental;41;Vallès Oriental;8005;L'Ametlla del Vallès;a8000098@xtec.cat
8000131;La Presentació;c. Pompeu Fabra, 2;8350;937920241;508;Maresme - Vallès Oriental;21;Maresme;8006;Arenys de Mar;a8000131@xtec.cat
8000153;Escola Joan Maragall;Rial de Sa Clavella, s/n;8350;937922802;508;Maresme - Vallès Oriental;21;Maresme;8006;Arenys de Mar;a8000153@xtec.cat
8000165;Escola Sant Martí;c. Generalitat, 2;8358;937938070;508;Maresme - Vallès Oriental;21;Maresme;8007;Arenys de Munt;a8000165@xtec.cat
8000189;Escola Bernat de Riudemeia;c. Bernat de Riudemeia, 27;8310;937970956;508;Maresme - Vallès Oriental;21;Maresme;8009;Argentona;a8000189@xtec.cat
8000220;Vedruna Artés;c. Carme, 16;8271;938305212;1060;Catalunya Central;7;Bages;8010;Artés;a8000220@xtec.cat
8000244;Escola Doctor Ferrer;c. Barcelona, 23;8271;938305377;1060;Catalunya Central;7;Bages;8010;Artés;a8000244@xtec.cat
8000271;Escola Santa Maria d'Avià;c. Escoles, s/n;8610;938230376;1060;Catalunya Central;14;Berguedà;8011;Avià;a8000271@xtec.cat
8000347;Escola d'Avinyonet del Penedès;pg. de la Grava, s/n;8793;938970443;1260;Penedès;3;Alt Penedès;8013;Avinyonet del Penedès;a8000347@xtec.cat
8000359;Escola La Muntanya;c. Núria, s/n;8591;938440179;508;Maresme - Vallès Oriental;41;Vallès Oriental;8014;Aiguafreda;a8000359@xtec.cat
8000384;Escola Lola Anglada;c. Riera de Canyadó, 53;8911;934642540;208;Barcelonès;13;Barcelonès;8015;Badalona;a8000384@xtec.cat
8000396;Escola Ventós i Mir;ptge. Ventós i Mir, 29-31;8912;933895523;208;Barcelonès;13;Barcelonès;8015;Badalona;a8000396@xtec.cat
8000402;Escola Feliu i Vegués;c. Sírius, 2A;8914;933871241;208;Barcelonès;13;Barcelonès;8015;Badalona;a8000402@xtec.cat
8000499;Sant Domènec Savio;c. Alfons XII, 111;8912;933877254;208;Barcelonès;13;Barcelonès;8015;Badalona;a8000499@xtec.cat
8000517;Sant Andreu;c. Arnús, 16-18;8911;933847710;208;Barcelonès;13;Barcelonès;8015;Badalona;a8000517@xtec.cat
8000578;Nen Jesús de Praga;c. Barcelona, 44;8911;933842413;208;Barcelonès;13;Barcelonès;8015;Badalona;a8000578@xtec.cat
8000608;Montserrat;c. Carles I, 9-13;8917;933880045;208;Barcelonès;13;Barcelonès;8015;Badalona;a8000608@xtec.cat
8000670;FEP Mare de Déu de la Salut;pg. de la  Salut, 36-38;8914;933876243;208;Barcelonès;13;Barcelonès;8015;Badalona;a8000670@xtec.cat
8000700;Maristes Champagnat;c. Dos de Maig, 67;8912;933895650;208;Barcelonès;13;Barcelonès;8015;Badalona;a8000700@xtec.cat
8000712;Llefià;c. Europa, 2 i 2 bis/c. Sèquia 1A i 1B;8913;933883298;208;Barcelonès;13;Barcelonès;8015;Badalona;a8000712@xtec.cat
8000761;Badalonès;c. Arbres, 17;8912;933895716;208;Barcelonès;13;Barcelonès;8015;Badalona;a8000761@xtec.cat
