CODI;NOM;ADREÇA;TELEFON;CORREU
1160;Alt Pirineu i Aran;Carrer Alcalde Josep Rosell, 8;973 59 13 91;st_apa.educacio@gencat.cat
308;Baix Llobregat;Carrer Laureà Miró, 328-330;93 685 94 50;st_baixllobregat.educacio@gencat.cat
208;Barcelonès;Passeig de la Zona Franca, 46;934 816 000;st_barcelones.educacio@gencat.cat
1060;Catalunya Central;Carretera de Vic, 175-177;936 930 590;st_ccentral.educacio@gencat.cat
117;Girona;Plaça de Pompeu Fabra, 1 (Oficina d'Atenció Ciutadana);872 975 000;st_girona.educacio@gencat.cat
125;Lleida;C/ Pica d'Estats 2;973 27 99 99;st_lleida.educacio@gencat.cat
508;Maresme-Vallès Oriental;Carrer Churruca, 90 (Passatge Cabot i Barba);936931890;st_mvo.educacio@gencat.cat
1260;Penedès;Camí Reial, 13-17 ;0;st_pen.educacio@gencat.cat
143;Tarragona;Carrer Sant Francesc, 7;977 251 440;st_tarragona.educacio@gencat.cat
243;Terres de l'Ebre;Carrer Providència, 5-9;977 448 711;st_teb.educacio@gencat.cat
408;Vallès Occidental;Carrer del Marquès de Comillas, 67-69;93 748 44 55;st_valles.educacio@gencat.cat
108;Consorci d'Educació de Barcelona;Pl. d'Urquinaona, 6  (cantonada C. de Roger de Llúria);93 551 10 00 ;0
